,emoji,cluster_id,cluster_name
0,😃,5,smiling
1,😄,5,smiling
2,😁,5,smiling
3,😆,5,smiling
4,😅,5,smiling
5,😂,5,smiling
6,😉,5,smiling
7,😊,5,smiling
8,😇,5,smiling
9,😍,0,affection
10,😘,0,affection
11,😚,0,affection
12,😋,6,tongue
13,😜,6,tongue
14,😝,6,tongue
15,😐,3,neutral
16,😶,3,neutral
17,😏,3,neutral
18,😒,3,neutral
19,😌,4,sleepy
20,😔,4,sleepy
21,😪,4,sleepy
22,😷,7,unwell
23,😵,7,unwell
24,😎,5,smiling
25,😲,1,concerned
26,😳,1,concerned
27,😨,1,concerned
28,😰,1,concerned
29,😥,1,concerned
30,😢,1,concerned
31,😭,1,concerned
32,😱,1,concerned
33,😖,1,concerned
34,😣,1,concerned
35,😞,1,concerned
36,😓,1,concerned
37,😩,1,concerned
38,😫,1,concerned
39,😤,2,negative
40,😡,2,negative
41,😠,2,negative
42,😈,2,negative
43,👿,2,negative
0,😃,8,all
1,😄,8,all
2,😁,8,all
3,😆,8,all
4,😅,8,all
8,😂,8,all
6,😉,8,all
7,😊,8,all
8,😇,8,all
9,😍,8,all
10,😘,8,all
11,😚,8,all
12,😋,8,all
13,😜,8,all
14,😝,8,all
18,😐,8,all
16,😶,8,all
17,😏,8,all
18,😒,8,all
19,😌,8,all
20,😔,8,all
21,😪,8,all
22,😷,8,all
23,😵,8,all
24,😎,8,all
28,😲,8,all
26,😳,8,all
27,😨,8,all
28,😰,8,all
29,😥,8,all
30,😢,8,all
31,😭,8,all
32,😱,8,all
33,😖,8,all
34,😣,8,all
38,😞,8,all
36,😓,8,all
37,😩,8,all
38,😫,8,all
39,😤,8,all
40,😡,8,all
41,😠,8,all
42,😈,8,all
43,👿,8,all
