,emoji,cluster_id,cluster_name
0,😃,8,all
1,😄,8,all
2,😁,8,all
3,😆,8,all
4,😅,8,all
8,😂,8,all
6,😉,8,all
7,😊,8,all
8,😇,8,all
9,😍,8,all
10,😘,8,all
11,😚,8,all
12,😋,8,all
13,😜,8,all
14,😝,8,all
18,😐,8,all
16,😶,8,all
17,😏,8,all
18,😒,8,all
19,😌,8,all
20,😔,8,all
21,😪,8,all
22,😷,8,all
23,😵,8,all
24,😎,8,all
28,😲,8,all
26,😳,8,all
27,😨,8,all
28,😰,8,all
29,😥,8,all
30,😢,8,all
31,😭,8,all
32,😱,8,all
33,😖,8,all
34,😣,8,all
38,😞,8,all
36,😓,8,all
37,😩,8,all
38,😫,8,all
39,😤,8,all
40,😡,8,all
41,😠,8,all
42,😈,8,all
43,👿,8,all
