,emoji,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
0,😃,fear,trust,fear,joy,surprise,surprise,sadness,surprise,anticipation,trust,sadness,trust,trust,surprise,fear,trust,disgust,sadness,fear,disgust,anger,joy,trust,trust,trust,surprise,trust,trust,joy,joy,trust,trust,joy,trust,joy,joy,trust,trust,trust,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
1,😄,anticipation,disgust,anticipation,anticipation,anticipation,fear,fear,anticipation,fear,fear,anticipation,fear,fear,fear,fear,fear,fear,fear,fear,fear,fear,fear,fear,fear,fear,fear,fear,fear,anticipation,fear,fear,fear,anticipation,anticipation,fear,anticipation,fear,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,joy,joy,anticipation,anticipation,anticipation,joy,anticipation,anticipation,anticipation,anticipation,joy,joy,joy,anticipation,joy,joy,anticipation,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
2,😁,fear,sadness,trust,trust,anger,surprise,trust,sadness,fear,trust,sadness,fear,trust,trust,trust,fear,fear,fear,sadness,trust,trust,disgust,fear,fear,trust,trust,trust,trust,trust,trust,trust,sadness,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,joy,trust,joy,joy,joy,joy,joy,joy,joy,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
3,😆,anger,anger,disgust,joy,disgust,disgust,disgust,surprise,surprise,anger,fear,fear,joy,anger,trust,trust,trust,sadness,anger,fear,trust,fear,fear,sadness,disgust,trust,surprise,fear,sadness,sadness,trust,anger,anger,trust,anger,trust,trust,trust,anger,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,anticipation,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,anticipation,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,surprise,joy,joy,joy,joy,joy,joy,joy
4,😅,surprise,sadness,surprise,fear,surprise,trust,trust,sadness,joy,trust,fear,anger,sadness,surprise,fear,fear,anticipation,fear,fear,anticipation,sadness,fear,sadness,sadness,surprise,sadness,anticipation,anticipation,sadness,sadness,sadness,sadness,surprise,sadness,trust,trust,fear,surprise,sadness,anticipation,anticipation,sadness,trust,trust,trust,sadness,trust,trust,trust,trust,anticipation,trust,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,joy,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation,anticipation
5,😂,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,surprise,trust,surprise,anticipation,surprise,surprise,surprise,surprise,surprise,surprise,trust,surprise,surprise,disgust,joy,surprise,surprise,surprise,surprise,disgust,disgust,disgust,disgust,trust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,disgust,surprise,disgust,surprise,surprise,disgust,surprise,surprise,anticipation,joy,joy,surprise,joy,surprise,surprise,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,surprise,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,surprise,joy,joy,surprise,surprise,surprise,joy,surprise,surprise,joy,surprise,surprise,joy,joy,joy,surprise,surprise,joy,surprise,surprise,joy,surprise,joy,joy,joy,joy,surprise,surprise,joy,surprise,joy,joy,surprise,joy,surprise,joy,joy,joy,joy,surprise,surprise,joy,surprise,surprise,surprise,surprise,surprise,joy,surprise,surprise,joy
6,😉,anticipation,disgust,sadness,surprise,sadness,surprise,anticipation,trust,joy,surprise,sadness,anger,trust,disgust,surprise,trust,disgust,trust,surprise,disgust,trust,surprise,trust,surprise,trust,fear,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
7,😊,disgust,trust,surprise,sadness,anger,anticipation,joy,trust,trust,joy,surprise,sadness,trust,trust,surprise,anger,anticipation,trust,trust,trust,anger,trust,trust,trust,anger,trust,joy,trust,joy,joy,trust,trust,trust,trust,trust,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
8,😇,anticipation,joy,anger,anger,anger,anger,sadness,disgust,trust,trust,anger,anger,anger,anger,anger,anticipation,fear,sadness,anger,anger,fear,anger,joy,disgust,anticipation,joy,anger,trust,fear,disgust,fear,fear,joy,sadness,disgust,trust,trust,anger,fear,sadness,anticipation,anticipation,trust,trust,trust,sadness,anticipation,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,anticipation,anticipation,anticipation,anticipation,trust,anticipation,anticipation,anticipation,trust,joy,anticipation,joy,joy,anticipation,joy,anticipation,anticipation,anticipation,anticipation,joy,anticipation,anticipation,anticipation,anticipation,joy,joy,joy,joy,anticipation,joy,anticipation,anticipation,joy,joy,joy,joy,anticipation,joy,joy,anticipation,joy,anticipation,joy,joy,joy,joy,anticipation,joy,anticipation,anticipation,anticipation,joy,joy,anticipation,joy,joy,joy,joy,anticipation,anticipation,anticipation,anticipation,joy,joy,joy,joy,joy,joy,joy,trust,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,anticipation
9,😍,joy,joy,joy,anticipation,joy,joy,anticipation,anticipation,joy,joy,joy,joy,joy,joy,disgust,joy,joy,disgust,trust,joy,trust,joy,trust,joy,trust,trust,trust,disgust,joy,joy,trust,trust,trust,joy,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
10,😘,anticipation,trust,trust,anticipation,anticipation,trust,trust,trust,trust,trust,trust,trust,trust,anticipation,anticipation,trust,anticipation,trust,anticipation,anticipation,anticipation,trust,trust,trust,trust,trust,trust,anticipation,anticipation,trust,anticipation,trust,anticipation,trust,trust,trust,trust,anticipation,trust,trust,anticipation,trust,trust,anticipation,anticipation,trust,trust,anticipation,trust,trust,trust,anticipation,anticipation,anticipation,trust,trust,trust,anticipation,anticipation,anticipation,anticipation,trust,anticipation,anticipation,joy,anticipation,joy,joy,trust,trust,joy,trust,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
11,😚,sadness,anticipation,joy,anger,surprise,trust,trust,sadness,anticipation,surprise,joy,fear,disgust,trust,trust,disgust,joy,disgust,surprise,fear,joy,trust,anticipation,surprise,trust,sadness,anticipation,sadness,sadness,trust,fear,anger,sadness,trust,joy,surprise,anger,anticipation,surprise,fear,anger,joy,anticipation,disgust,anticipation,anticipation,anger,joy,anger,anger,anticipation,sadness,trust,trust,anticipation,trust,trust,trust,trust,joy,anticipation,anticipation,anticipation,joy,trust,joy,joy,trust,trust,anticipation,joy,joy,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
12,😋,trust,sadness,surprise,joy,anticipation,joy,joy,disgust,disgust,trust,disgust,anticipation,surprise,surprise,trust,joy,disgust,trust,disgust,surprise,disgust,surprise,sadness,trust,trust,anticipation,trust,fear,anticipation,surprise,trust,disgust,trust,trust,trust,joy,trust,trust,trust,trust,joy,trust,trust,trust,trust,trust,surprise,joy,trust,surprise,joy,trust,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,anticipation,joy,joy,joy,joy,joy,anticipation,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
13,😜,joy,surprise,disgust,anger,sadness,disgust,anger,trust,anticipation,surprise,trust,trust,anger,surprise,anger,surprise,surprise,joy,surprise,trust,anger,trust,surprise,anger,trust,anticipation,trust,trust,trust,trust,trust,joy,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,trust,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
